50/10 UPHOLSTERY,,,,
SKU,SKU Description,Rank,Sales TY,Units TY
0327-678,EAC ASPECT CFFEE 47.5  OPN UNT,12,$299,1
0369-725,EAC CAMEO GREY FLCRN/LFT OPNBS,13,$270,1
0369-826,EAC CAMEO GREY FL CRN/RT OPN B,14,$270,1
0327-802,ASPECT WALNUT 47.5  OPEN UNIT ,15,$254,1
0170-967,BENCH CUSHION 44  DARK GRANITE,16,$60,1
0208-094,AUSTIN 78  MEDIA CONSOLE      ,17,$0,0
0217-796,EAC STRETTO CABINET-NERO NOCE ,18,$0,0
0219-259,EAC PILSEN MEDIA CONSOLE W GLS,19,$0,0
0253-387,SAWYER MOCHA WINE BAR P1      ,20,$0,0
0253-395,SAWYER MOCHA WINE BAR P2      ,21,$0,0
0450-735,REMI BOOKCASE SMALL           ,22,$0,0
0450-763,EAC YUKON NATURAL BENCH W/SHLF,23,$0,0
0455-585,CANTINA BAR CABINET TOP P2    ,24,$0,0
0500-833,RIGBY 80.5  CONSOLE TEAK      ,25,$0,0
0527-637,REMI BOOKCASE LARGE           ,26,$0,0
0528-870,BECKETT 6-HIGH SHELF          ,27,$0,0
0552-828,RIGBY MEDIA CONSOLE BASE      ,28,$0,0
0557-271,KNOX MEDIA CONSOLE            ,29,$0,0
0580-514,MARIN 58  MEDIA CONSOLE NATURA,30,$0,0
0585-955,EAO LEIGH STANDING COAT RACK  ,31,$0,0
0650-748,SAWYER MOCHA LOW MEDIA STAND  ,32,$0,0
0661-734,TECA STORAGE TRUNK/BENCH      ,33,$0,0
0663-230,EAC PARKER SPRTS CBNT BORBN P1,34,$0,0
0663-249,EAC PARKER SPRTS CBNT BORBN P2,35,$0,0
0664-245,SEGURO CAFFE 68  MEDIA        ,36,$0,0
0679-553,TWIG STANDING COAT RACK       ,37,$0,0
0689-457,EAC CLAPBOARD MDIA 60  BRBN P1,38,$0,0
0689-708,EAC CLAPBOARD MDIA 60  BRBN P2,39,$0,0
0689-716,EAC CLAPBOARD MDIA 48  BRBN P1,40,$0,0
0689-758,EAC CLAPBOARD MDIA 48  BRBN P2,41,$0,0
0660-577,EAO LEIGH COAT RACK           ,42,$-75,-1
50/75 HOME OFFICE,,,,
SKU,SKU Description,Rank,Sales TY,Units TY
0328-270,STRUT BOOKCASE TEAK           ,1,$799,1
0531-313,EAC STRUT BOOKCASE BOURBON II ,2,$699,1
0671-212,EAC MORRIS LARGE DESK ASH GREY,3,$679,1
0325-647,STRUT WORK TABLE BASE TEAK    ,4,$520,1
0673-605,NAVIGATOR OFFICE CHAIR SADDLE ,5,$509,1
0443-221,EAC RIPPLE IVORY CH W BRASS   ,6,$399,1
0235-523,SPOTLIGHT EBONY FILE C2       ,7,$349,1
0505-253,STRUT WK TBL 34X70  GLASS TOP ,8,$279,1
0326-733,ASPECT LOW FILE WALNUT        ,9,$254,1
0196-763,EAC SAWYER 18  BKCS WHITE PT1 ,10,$150,2
0206-788,EAC SAWYER 18  BKCS WHITE PT2 ,11,$70,2
0196-658,EAC SAWYER DESK WHITE PT. 1   ,12,$0,0
0196-674,SAWYER DESK MOCHA PT. 1       ,13,$0,0
0196-713,EAC SAWYER 24.5  BKCS WHT PT.1,14,$0,0
0196-739,SAWYER 24.5  BKCS MOCHA PT. 1 ,15,$0,0
0196-828,SAWYER 18  BKCS MOCHA PT1     ,16,$0,0
0197-353,EAC PILSEN SALT 2-DRWR FL CBNT,17,$0,0
0197-442,KENDALL DESK WALNUT           ,18,$0,0
0206-526,EAC SAWYER DESK WHITE PT. 2   ,19,$0,0
0206-542,SAWYER DESK MOCHA PT. 2       ,20,$0,0
0206-592,EAC SAWYER 24.5  BKCS WHT PT.2,21,$0,0
0206-615,SAWYER 24.5  BKCS MOCHA PT. 2 ,22,$0,0
0206-800,SAWYER 18  BKCS MOCHA PT2     ,23,$0,0
0214-102,PILSEN BKCS GRPH WLNT SHLF    ,24,$0,0
0325-192,GRAHAM OFFICE CHAIR BLACK     ,25,$0,0
0326-684,ASPECT WALNUT DESK            ,26,$0,0
0575-286,PILSEN DESK GRAPHITE GREY     ,27,$0,0
0671-408,OAK PARK II DESK              ,28,$0,0
0326-698,ASPECT WALNUT DESK HUTCH      ,29,$-149,-1
0233-211,EAC SPOTLIGHT WHT 58  DESK C2 ,30,$-509,-1
50/80 OUTDOOR FURNITURE,,,,
SKU,SKU Description,Rank,Sales TY,Units TY
0595-950,REGATTA EXTENSION TBL NAT     ,1,"$4,158",2
0546-375,DUNE SOFA W/CUSHION TAUPE     ,2,"$3,777",3
0670-107,EAO MOROCCO DINING CHAIR GRPHT,3,"$2,690",10
0546-383,DUNE LNGE CHAIR W/ CSHN TAUPE ,4,"$1,598",2
0216-277,HEXA BISTRO TABLE             ,5,"$1,494",6
0596-507,EAC REGATTA SOFA NATURAL      ,6,"$1,229",1
0595-896,REGATTA DINING BENCH FSC NAT  ,7,"$1,198",2
0217-089,EAC DUNE RA LOVESEAT NAVY     ,8,"$1,169",1
0217-117,EAC DUNE LA LOVESEAT NAVY     ,9,"$1,169",1
0448-642,EAO ROCHA II DINING ARM CHAIR ,10,$952,8
0545-948,EAC DUNE CNTRSTOOL W/CSHNTAUPE,11,$898,2
0391-656,MESA SIDE TABLE/STOOL         ,12,$876,4
0595-683,REGATTA DINING CHAIR NAT      ,13,$858,2
0217-952,REGENT DINING CHAIR           ,14,$833,7
0669-017,EAC DUNE SCTNL CRNR W/CSHN TP ,15,$759,1
0447-998,EAO MOROCCO SECT CRNRCH LT GRY,16,$747,3
0218-086,REGENT LOUNGE CHAIR           ,17,$716,4
0217-122,EAC DUNE CORNER CHAIR NAVY    ,18,$699,1
0596-566,EAC REGATTA LOUNGE CHAIR NAT  ,19,$649,1
0447-944,EAO MOROCCO SECTARMLSCH LT GRY,20,$597,3
0217-130,EAC DUNE ARMLESS CHAIR NAVY   ,21,$579,1
0582-703,EAC 9  RND TILT UMB FRAME BLK ,22,$554,6
0577-188,EAO LARGO MESH DNG ARM CH CHRC,23,$552,8
0547-746,EAC DUNE HIGH DINING TBL FRAME,24,$539,1
0219-141,MILLSTONE COFFEE TABLE        ,25,$499,1
0216-332,HEXA COFFEE TABLE             ,26,$498,2
0216-566,UMBRELLA BASE SMALL           ,27,$485,5
0363-263,LARGO MSH DNGARMCH MEDITBLUE  ,28,$472,8
0219-131,CREST SIDE TABLE/STOOL        ,29,$438,2
0218-053,REGENT DINING TABLE           ,30,$419,1
0262-656,REGENT LNG CHR CSHN MD BLU    ,31,$392,4
0216-532,EAC UMBRELLA BASE LRG W/ WHLS ,32,$387,3
0450-069,EAO ROCHA II SOFA             ,33,$382,1
0277-557,EAO SECTIONAL COVER LARGE     ,34,$379,1
0446-271,EAC ALFRESCO II 24  CNTRST GRY,35,$378,2
0448-463,EAO MOROCCO CRNRCSH SLVR      ,36,$357,3
0445-928,EAC ALFRESCO II CAFE TBLE GREY,37,$339,1
0446-040,EAC ALFRESCO II HD TABLE GREY ,38,$339,1
0219-837,EAC 10  CANTILEVER RND PT 2-BS,39,$330,1
0596-639,EAC REGATTA OTTOMAN NAT       ,40,$319,1
0445-697,EAC ALFRESCO II DNG CHAIR GREY,41,$318,2
0577-414,EAO LARGO FLIPTOP TABLE SQUARE,42,$318,2
0450-211,EAO ROCHA II LOUNGE CHAIR     ,43,$300,2
0448-577,EAO MOROCCO ARMLS/LNGCH CH SLV,44,$297,3
0450-347,EAO ROCHA II SIDE TABLE       ,45,$297,3
0354-700,9  RND UMB CVR MEDTN BLUE     ,46,$283,2
0670-848,TABLE IN A BAG                ,47,$280,7
0219-194,EAC 10  CANTILVR RND PT 1-FRM ,48,$269,1
0448-509,EAC ALFRESCO II SD TBL NAT    ,49,$258,2
0262-566,EAC 10  RND UMB CVR STONE     ,50,$249,1
0221-197,CABANA STRPE 20X20OUTDR PLW   ,51,$240,8
0277-707,EAO TABLE COVER RECT. W/CHAIRS,52,$239,1
0223-326,EAC REGATTA DNGBNCH CSH DRKNAV,53,$238,2
0448-956,EAC REGATTA WLTD SFCSH SFMN S2,54,$229,1
0445-944,SHIBORI CHAR 20X20 OUTDR PLW  ,55,$210,7
0221-516,20  OUTDOOR PLW DARK NAVY     ,56,$200,5
0277-645,EAO REGATTA SOFA COVER MEDIUM ,57,$199,1
0449-176,EAC RECT UMB CVR CILANTRO     ,58,$199,1
0449-320,EAC RECT UMB CVR GRAPHITE     ,59,$199,1
0277-481,EAO LOUNGE CHAIR COVER MEDIUM ,60,$198,2
0449-386,EAC REGATTA WLTD CHS CSH SFTMN,61,$198,2
0577-397,EAC LARGO LNG CH MEDITNEN BLUE,62,$198,2
0222-075,EAC 9  RND UMB CVR CABANA STRP,63,$189,1
0448-909,EAC 9  RND UMB CVR GRAPHITE   ,64,$189,1
0575-804,9  RND UMB CVR STONE          ,65,$189,1
0620-289,EAC 9  RND UMB CVR WHITE SAND ,66,$189,1
0547-703,EAC DUNE HIGHDNG TBL PNTED GLS,67,$179,1
0277-354,EAO STACKABLE CHAIR COVER     ,68,$178,2
0447-630,FISH 20X13 OUTDR PLW          ,69,$164,11
0444-382,20  OUTDOOR PLW SOFT MINERAL  ,70,$160,4
0355-510,EAC ALFRESCO SEAT CSN MEDTNBLE,71,$152,8
0448-194,ALFRESCO II SIDE TABLE GRY    ,72,$149,1
0579-187,ALFRESCO CHSE CSH CHAR 3IN    ,73,$139,1
0447-584,SHIBORI CHAR 20X13 OUTDR PLW  ,74,$130,5
0108-582,RECT FSC UMB FRAME EUCALYPTUS ,75,$129,1
0446-631,SHIBORI NAVY 20X20 OUTDR PLW  ,76,$120,4
0216-302,HEXA SIDE TABLE               ,77,$119,1
0216-656,LATTICE CIRCLE TABLE LARGE    ,78,$119,1
0364-080,EAO LARGO FLIPTOP TBL 31.5 RND,79,$119,1
0603-570,EAC RECT UMB FRAME BLACK      ,80,$119,1
0449-397,EAC REGATTA WLT LNGCH CSH SFMN,81,$99,1
0223-296,EAC REGATTA DNG CHR CSH DRKNAV,82,$98,2
0448-361,EAC ALFRESCO LNGCHCSH CILANTRO,83,$98,2
0577-432,EAC LARGO OTT MEDITERRAN BLUE ,84,$98,2
0443-341,20  OUTDOOR PLW GRAPHITE      ,85,$90,3
0449-402,EAC REGATTA WLTD OT CSH SFMNRL,86,$89,1
0227-392,CROCHET PILLOW GREY           ,87,$80,1
0221-385,20  OUTDOR PLW SILVER         ,88,$80,2
0444-481,20X13 OUTDR PLW GRAPHITE      ,89,$75,3
0446-294,OVRLAPNG ARCHS 20X20 OUTDR PLW,90,$75,5
0447-608,WATER STRIPE 20X13 OUTDR PLW  ,91,$75,5
0448-077,EAO ROCHA LOUNGE CH CSHN CLNTR,92,$54,2
0221-230,CABANA STRIP 20X13OUTDR PLW   ,93,$50,2
0446-758,GRIT MIDNIGHT 20X20 OUTDR PLW ,94,$50,2
0579-272,ALFRESCO LNGCH CSH CHR 3IN    ,95,$49,1
0446-504,FISH 20X20 OUTDR PLW          ,96,$45,3
0682-358,20  OUTDOOR PLW WHITE SAND    ,97,$40,1
0445-072,EAC ALFRESCO STCSH CILANTRO   ,98,$39,1
0433-438,GOLDEN CARE TEAK PROTECTOR    ,99,$30,1
0221-545,20X13 OUTDR PLW MEDTN BLUE    ,100,$30,2
0447-612,NAVY WAVES 20X13 OUTDR PLW    ,101,$30,2
