50/10 UPHOLSTERY,,,,
SKU,SKU Description,Rank,Sales TY,Units TY
0212-059,SP/L1723-01 GARBO CHAIR       ,5,"$1,869",1
0595-460,1421-CAB ELYSE CH LANDRY      ,6,"$1,528",2
0137-288,SP/1470-BRB LOUNGE II RA BMPR ,7,"$1,169",1
0305-087,SP/1470-EEB LOUNGE II CNR     ,8,$899,1
0305-817,SP/1470-A2B LOUNGE II ARMLS CH,9,$719,1
0658-543,1497-CKB DRDYEN OT SQ 37      ,10,$713,1
0526-654,1470-20BD LOUNGE II DEEP STOT ,11,$599,1
0117-613,MTO ACID ETCH C TABLE         ,12,$523,3
0506-575,MCCREARY ALL OTHER CUSTOM ORDR,13,$246,2
0594-005,SD 20  OUTDOOR PLW CANVAS BLK ,14,$160,4
0594-412,SD 20X13 OTDR PLW CABANA CLSSC,15,$72,2
0108-327,SP/1172-FAB DAVIS FSL         ,16,$0,0
0109-145,SP/1172-PRB DAVIS RA ASF      ,17,$0,0
0109-153,SP/1172-CLB DAVIS LA CHS      ,18,$0,0
0164-269,SP/0618-DA MILES ACH          ,19,$0,0
0164-932,SP/0637-DO CLAYTON SD CH      ,20,$0,0
0216-798,SP/755-5013 ROCHELLE SOFA     ,21,$0,0
0220-423,SP/3121-01SW TALIA 360 SWCH   ,22,$0,0
0230-847,SP/1353-PAB AXIS II ASF       ,23,$0,0
0231-584,SP/1353-ERB AXIS II RA CHAIR  ,24,$0,0
0232-068,SP/1353-LLB AXIS II LA LV     ,25,$0,0
0232-084,SP/1353-LRB AXIS II RA LV     ,26,$0,0
0232-319,SP/1353-WEB AXIS II WEDGE     ,27,$0,0
0233-662,SP/1385-SAB MONTCLAIR SF      ,28,$0,0
0237-875,SP/1470-O3LB LOUNGE II OT 37  ,29,$0,0
0256-423,*FR:SP/N2587 VERANO SF        ,30,$0,0
0267-525,SP/1670-OCLB LOUNGE II PT OT 3,31,$0,0
0267-643,1070-01  EIFFEL CH            ,32,$0,0
0268-282,SP/CB01-CSB DECLAN 360 SWCH   ,33,$0,0
0268-918,SP/1172-GCB/BSB DAVIS LOUNGER ,34,$0,0
0304-722,SP/1470-PAB LOUNGE II ASF     ,35,$0,0
0305-037,SP/1470-SRB LOUNGE II RA SF   ,36,$0,0
0305-045,SP/1470-CLB LOUNGE II LA CHS  ,37,$0,0
0306-237,SP/1470-PLB LOUNGE II LA ASF  ,38,$0,0
0374-962,SP/706-4011 MARGOT LOVESEAT   ,39,$0,0
0391-275,SP VISTA II ADIRONDACK CHAIR  ,40,$0,0
0391-464,SP VISTA II ADIRONDACK OTTOMAN,41,$0,0
0401-722,706-4011 MARGOT LV            ,42,$0,0
0408-659,SP/3392-97 RESTON FSL         ,43,$0,0
0462-608,MCCREARY MODERN CUT YARDAGE   ,44,$0,0
0486-899,SP/519-2000 TUX CH            ,45,$0,0
0520-683,LEE ALL OTHER SLIPCOVER       ,46,$0,0
0599-409,SP/*3782-03 TARAVAL SF W/OAK  ,47,$0,0
0610-525,SP/1172-OTB DAVIS LNGR BMPR ST,48,$0,0
0665-883,1470-20BT LOUNGE II STOT W/   ,49,$0,0
0677-245,SP/611-2005 CLARA SWCH        ,50,$0,0
0689-338,SP/706-5011-72 MARGOT SOFA    ,51,$0,0
0689-346,SP/706-2000 MARGOT CH FARGO   ,52,$0,0
0594-225,SD 20  OTDR PLW CNVS JCKY RED ,53,$-40,-1
0212-903,SP/*L1935-01 TREVOR CHAIR     ,54,"$-1,869",-1
50/40 DINING,,,,
SKU,SKU Description,Rank,Sales TY,Units TY
0453-250,BIG SUR SIDEBOARD NATURAL     ,1,"$1,614",1
0280-813,LOWE SD CHAIR PERSIMMON       ,2,"$1,194",6
0599-732,BASQUE II 82  DNG TBL GRY WSH ,3,$799,1
0417-384,EAC FOLIO SIDE CHAIR WHISKEY  ,4,$798,2
0639-368,EAC PRSN CNCRT II TOP 60X36   ,5,$699,1
0129-197,AVALON EXT TABLE WHT P1 C2    ,6,$698,2
0599-723,EAC BASQUE II 65 DNGTBL GRYWHS,7,$599,1
0281-178,LOWE BKLS BENCH SMOKE         ,8,$598,2
0322-177,PRSN BRASS BASE 60X36         ,9,$530,1
0171-376,BELMONT KITCHEN ISLAND WHT 16 ,10,$499,1
0322-206,HARVEY CHAIR NATURAL          ,11,$399,1
0129-260,AVALON EXT TABLE WHT P2 C2    ,12,$300,2
0570-681,CURRAN SIDE CHAIR CARMEL      ,13,$289,1
0422-290,SPIN STOOL 30                 ,14,$218,2
0599-347,EAO VIENNA SIDE CHAIR BLACK E ,15,$99,1
0296-335,DELTA CHAIR/BRSTL CUSHION BLK ,16,$80,4
0220-994,FINISHER S FORMULA            ,17,$17,1
0110-825,EAO 42  ROUND GLASS           ,18,$0,0
0132-927,EAC TIG STOOL LEATHER CUSHION ,19,$0,0
0133-623,EAC PRSN D STL BASE  48X28    ,20,$0,0
0133-666,EAC PRSN D STL BASE  60X36    ,21,$0,0
0143-017,EAC PRANZO II EXT.TBL BRUNO   ,22,$0,0
0143-106,PRANZO II SIDEBOARD C2        ,23,$0,0
0144-813,EAC PALOMA II BENCH TOP       ,24,$0,0
0145-704,EAC MONARCH 76  SHIITKE TBL P1,25,$0,0
0145-819,MONARCH 76/108 SHIITAKE TBL P2,26,$0,0
0155-333,EAC PRSN CLRGLS TOP 60X36     ,27,$0,0
0171-141,SPAN GATELEG TABLE WHITE      ,28,$0,0
0171-714,EAC BELMONT KITCHEN ISLAND BLK,29,$0,0
0202-938,CASEMENT TALL CABINET         ,30,$0,0
0203-645,PRANZO II EXT. TABLE VAMELIE  ,31,$0,0
0214-414,TIG CHAIR                     ,32,$0,0
0216-864,BASQUE CHAIR CUSHION NATURAL  ,33,$0,0
0217-006,EAC BASQUE BENCH CSHN 48 NAT  ,34,$0,0
0217-064,EAC BASQUE BENCH CUSHN 84  NAT,35,$0,0
0222-717,CAMEO LG ISLAND PORC. TOP/P1  ,36,$0,0
0222-837,CAMEO LG.ISLND BASE DR/DWR P2 ,37,$0,0
0222-846,CAMEO LG ISLND BASE SHLVS PT3 ,38,$0,0
0222-883,EAC PRSN PINE TOP 60X36       ,39,$0,0
0223-105,EAC PRSN GRYMBL TOP 60X36     ,40,$0,0
0224-089,EAC LOWE 24  CNTRSTOOL PEWTER ,41,$0,0
0224-107,LOWE SD CHAIR CAFE LATTE      ,42,$0,0
0225-059,EAC BASQUE HIGH DNG TBL HONEY ,43,$0,0
0228-690,SPIN BARSTOOL CUSHION BLACK   ,44,$0,0
0228-860,SPIN BARSTOOL CUSHION ALLOY   ,45,$0,0
0228-887,DELTA CHR/BRSTL CUSHION ALLOY ,46,$0,0
0228-895,TURNER STOOL CUSHION W/ SKIRT ,47,$0,0
0230-494,ORIGIN 24  BARSTOOL           ,48,$0,0
0280-512,LOWE 24  CNTRSTOOL CHOCOLATE  ,49,$0,0
0280-724,LOWE SD CHAIR IVORY           ,50,$0,0
0280-820,LOWE SD CHAIR RED             ,51,$0,0
0281-194,EAC LOWE 24  CNTRSTOOL SMOKE  ,52,$0,0
0290-703,FOLIO SIDE CHAIR SADDLE       ,53,$0,0
0298-951,LAKIN SIDEBOARD S17           ,54,$0,0
0322-018,HARVEY CHAIR BLACK            ,55,$0,0
0322-223,EAC PRSN WLNT TOP 48X28       ,56,$0,0
0329-112,CABRIA WOOD CH CUSH HENLEY NAT,57,$0,0
0339-777,SPARE FOLDING CHAIR DOVE      ,58,$0,0
0346-928,SPARE FOLDING CHAIR BLACK     ,59,$0,0
0355-773,LOWE SD CHAIR PEWTER FABRIC   ,60,$0,0
0355-985,EAC LOWE SD CHAIR PEWTER      ,61,$0,0
0369-993,TURNER BARSTOOL 24 -30 GUNMETL,62,$0,0
0388-262,EAO HALO DINING TABLE BS EBONY,63,$0,0
0414-899,EAC BASQUE 65  DNG TBL HONEY17,64,$0,0
0414-922,EAC BASQUE 48  BENCH HONEY 17 ,65,$0,0
0422-282,SPIN STOOL 24                 ,66,$0,0
0424-182,ORIGAMI RECT D/LF TABLE NEW P1,67,$0,0
0424-276,ORIGAMI RECT D/LF TABLE NEW P2,68,$0,0
0426-490,EAO 48  ROUND GLASS           ,69,$0,0
0437-824,DELTA 24  COUNTER STOOL       ,70,$0,0
0465-555,EAC COLETTE II SIDE CHAIR     ,71,$0,0
0469-744,PALOMA I/II BENCH BASE P2     ,72,$0,0
0501-436,FELIX 24  COUNTER STOOL WALNUT,73,$0,0
0517-693,EAC BASQUE SIDE CHAIR JAVA    ,74,$0,0
0527-246,TURNER BARSTOOL 18 -24  BLACK ,75,$0,0
0528-404,PRSN CNCRT TOP 48X28          ,76,$0,0
0553-697,MARLOW II CHAIR BLACK         ,77,$0,0
0564-382,EAC BASQUE 104  DINING TBL JAV,78,$0,0
0564-454,EAC BASQUE 84  BENCH JAVA     ,79,$0,0
0568-545,VILLAGE CHAIR WHITE           ,80,$0,0
0568-565,EAO VILLAGE SD CHR BRUNO-BLACK,81,$0,0
0568-623,EAC CASEMENT SM SDBRD BLK     ,82,$0,0
0583-143,APEX 64  TABLE PT 1 TOP 2015  ,83,$0,0
0583-186,APEX 64  TABLE PT 2 BASE 2015 ,84,$0,0
0585-613,EAC PRSN S STL BASE 60X36     ,85,$0,0
0635-936,PRSN CLRGLS TOP 48X28         ,86,$0,0
0639-715,CABRIA SDCH MANGOWOOD HONEY 16,87,$0,0
0642-141,TIG GRAPHITE 24  STOOL        ,88,$0,0
0642-187,TIG GRAPHITE SIDE CHAIR       ,89,$0,0
0667-649,HALO HIGH DINING BASE GREY    ,90,$0,0
0667-652,EAC MONARCH 76  NAT TBL TOP/P1,91,$0,0
0667-670,EAC MONARCH 76/108  NAT TBL BS,92,$0,0
0668-152,EAC MONARCH SM SDBRD SHIITAKE ,93,$0,0
0671-474,EAC MILES SIDE CHAIR COBALT   ,94,$0,0
0671-538,MILES SIDE CHAIR TOBIAS FENNEL,95,$0,0
0671-601,SASHA SIDE CHAIR NAVY         ,96,$0,0
0671-723,SONATA PNT.LNCSTR SD CH HERON ,97,$0,0
0671-898,EAC TIG CHAIR LEATHER CUSHION ,98,$0,0
0673-001,EAO WHIRL SWIVEL CHAIR        ,99,$0,0
0280-708,LOWE SIDE CHAIR CHOCOLATE     ,100,$-199,-1
50/45 ACCENT TABLES,,,,
SKU,SKU Description,Rank,Sales TY,Units TY
0669-918,EAC SILVIANO 60  CONSOLE TABLE,1,$849,1
0440-494,LAKIN COFFEE TABLE            ,2,$679,1
0441-355,SPOKE METAL COFFEE TABLE BS/P2,3,$567,3
0337-856,ELKE RECT BRASS CFTBL BASE    ,4,$559,1
0667-968,CLAIREMONT DMLN CSL BASE C2 P1,5,$510,1
0298-254,ELKE RECT CFTBL TP GLS 12MM   ,6,$280,1
0264-883,EDGEWOOD CFFEE TBL SQ FSC TEAK,7,$279,1
0543-538,ERA CONSOLE TABLE BASE        ,8,$233,1
0440-896,EAC SPOKE MRBL CFFEE TBL TP/P1,9,$200,1
0443-585,SPOKE METAL END TABLE BS/P2   ,10,$198,2
0667-976,CLAIREMONT DMLN CNSL TOP C2 P2,11,$189,1
0441-084,SPOKE GLASS COFFEE TABLE TP/P1,12,$185,2
0654-567,AVENUE C TABLE                ,13,$169,1
0670-256,COLETTE END TABLE             ,14,$120,1
0337-570,KNURL LARGE ACCENT TABLE      ,15,$100,1
0443-338,SPOKE MARBLE END TABLE TP/P1  ,16,$70,1
0443-531,SPOKE GLASS END TABLE TP/P1   ,17,$50,1
0542-710,ERA CONSOLE TABLE GLASS       ,18,$36,1
0155-877,EAO DIXON SIDE TABLE NEW      ,19,$0,0
0159-816,KYRA COFFEE TABLE             ,20,$0,0
0164-097,DIXON COFFEE TABLE            ,21,$0,0
0165-239,ENTU END TABLE                ,22,$0,0
0197-459,EAC PRSN TRAV TOP 48X28       ,23,$0,0
0212-679,PRSN CLRGLS TOP 12X20         ,24,$0,0
0212-718,PRSN D STL BASE 12X20         ,25,$0,0
0212-726,PRSN S STL BASE 12X20         ,26,$0,0
0212-821,EAC PRSN CNCRT TOP 12X20      ,27,$0,0
0213-017,PRSN D STL BASE 48X28         ,28,$0,0
0213-083,PRSN S STL BASE 48X28         ,29,$0,0
0213-093,EAC PRSN ELM BASE 48X28       ,30,$0,0
0213-104,EA0 SEGURO EBONY SQ COFFEE TBL,31,$0,0
0213-575,PRSN D STL BASE 20X24         ,32,$0,0
0213-631,PRSN ELM BASE 20X24           ,33,$0,0
0213-647,PRSN WHTMBL TOP 20X24         ,34,$0,0
0213-715,EAC REMI CONSOLE TABLE        ,35,$0,0
0337-246,UDAN COFFEE TABLE             ,36,$0,0
0337-597,KNURL SMALL NESTING TABLE     ,37,$0,0
0519-855,NERO BLACK END TABLE          ,38,$0,0
0527-025,ECHELON C TABLE               ,39,$0,0
0528-110,SADIE DRINK TABLE             ,40,$0,0
0553-360,PRSN CLRGLS TOP 20X24         ,41,$0,0
0557-594,ALPINE STORAGE TABLE          ,42,$0,0
0557-651,PASTIS COFFEE TABLE           ,43,$0,0
0558-053,CAMPTON CONSOLE TABLE         ,44,$0,0
0611-894,PASTIS SIDE TABLE SMALL       ,45,$0,0
0651-967,TUCKER TRUNK RECTANGLE        ,46,$0,0
0653-456,TUCKER END TRUNK              ,47,$0,0
0661-610,SANDERS CUBE                  ,48,$0,0
0666-940,ECHELON ROUND END TABLE       ,49,$0,0
0666-958,ECHELON CONSOLE TABLE         ,50,$0,0
0667-918,CLAIREMONT OVAL CFF BASE C2 P1,51,$0,0
0667-926,CLAIREMONT OVAL CFF TOP C2 P2 ,52,$0,0
0668-045,YUKON LG CFF TBL/BCH TOP P1   ,53,$0,0
0668-053,YUKON LG CFF TBL/BCH LEGS P2  ,54,$0,0
0668-910,PATINA DRUM                   ,55,$0,0
0669-065,COLETTE COFFEE TABLE          ,56,$0,0
0675-254,BLUESTONE COFFEE TABLE P1 TOP ,57,$0,0
0675-262,BLUESTONE COFFEE TABLE P2 BASE,58,$0,0
0677-462,PASCAL END TABLE              ,59,$0,0
0443-218,SLICE END TABLE               ,60,$-36,0
0430-213,CYMBAL STORAGE DRUM           ,61,$-199,-1
0321-152,EAC PRSN SLDSFC TOP 12X20     ,62,$-358,-2
0321-421,EAC PRSN BRASS BASE 12X20     ,63,$-425,-2
50/50 BEDROOM,,,,
SKU,SKU Description,Rank,Sales TY,Units TY
0322-284,OXFORD KING BED PT.1          ,1,"$3,060",2
0470-877,TATE 9-DRAWER DRESSER         ,2,"$2,998",2
0446-301,LINEA II QUEEN BED NAT P1     ,3,"$2,071",2
0667-241,EAC GIA KING BED GREY PT. 1   ,4,"$1,884",1
0393-473,EAC DAWSON 4-DRWR CHST II-GREY,5,"$1,848",2
0322-716,OXFORD 6-DRAWER DRESSER       ,6,"$1,529",1
0538-220,TATE CHARCOAL QUEEN BED P1    ,7,"$1,315",1
0346-798,BRS FIRM QUEEN MATTRESS       ,8,"$1,199",1
0216-665,TATE SMALL CHEST              ,9,"$1,099",1
0592-561,TATE 2D NIGHTSTAND W/ POWER   ,10,"$1,018",2
0322-319,OXFORD KING BED PT. 3         ,11,$964,2
0683-508,EAC ATWOOD QN W/O BKCS HDBD P1,12,$952,1
0470-889,TATE NIGHTSTAND               ,13,$898,2
0446-318,LINEA II QUEEN BED NAT P2     ,14,$887,2
0683-516,EAC ATWOOD QN W/O BKS FTBRDPT2,15,$832,1
0446-172,EAC LINEA II FULL BED NAT P1  ,16,$823,1
0446-400,EAC LINEA II 4-D DRESSER NAT  ,17,$760,1
0322-301,OXFORD KING BED PT. 2         ,18,$734,2
0439-300,EAC DAWSON UPH Q BED CLOVE P1 ,19,$725,1
0393-301,DAWSON NIGHTSTAND II-GREY WASH,20,$678,2
0590-403,EAC DAWSON CANE QN BED  P1 GRY,21,$617,1
0196-528,ATWOOD NIGHTSTAND             ,22,$509,1
0216-711,TATE SLATTED BENCH            ,23,$467,1
0327-520,EAC TATE KING WOOD BED PT.3   ,24,$422,1
0326-625,EAC TATE KING WOOD BED PT.1   ,25,$404,1
0446-387,LINEA II 1-D NIGHTSTAND NAT   ,26,$382,1
0446-248,EAC LINEA II FULL BED NAT P2  ,27,$366,1
0326-469,TATE Q WOOD BD P3 SD RAILS    ,28,$352,1
0326-373,TATE Q WOOD BED P1 HDBRD      ,29,$337,1
0439-512,EAC DAWSON UPH Q BED CLOVE P2 ,30,$300,1
0216-777,TATE BENCH CUSHION CHARCOAL   ,31,$297,1
0344-227,EAO OLIVER KING BED PT. 1     ,32,$293,1
0590-424,EAC DAWSON CANE QN BED  P2 GRY,33,$255,1
0344-030,EAO OLIVER QUEEN BED PT. 1    ,34,$239,1
0667-265,EAC GIA KING BED GREY PT. 2   ,35,$215,1
0327-516,EAC TATE KING WOOD BED PT.2   ,36,$194,1
0538-235,TATE CHARCOAL QUEEN BED P2    ,37,$184,1
0439-735,EAC DAWSON UPH Q BED CLOVE P3 ,38,$174,1
0326-416,TATE Q WOOD BD P2 FOOTBRD     ,39,$160,1
0590-438,EAC DAWSON CANE QN BED  P3 GRY,40,$148,1
0344-243,EAO OLIVER KING BED PT. 2     ,41,$103,1
0344-269,EAO OLIVER KING BED PT. 3     ,42,$103,1
0344-073,EAO OLIVER QUEEN BED PT. 2    ,43,$80,1
0344-104,EAO OLIVER QUEEN BED PT. 3    ,44,$80,1
0196-561,EAC ATWOOD CHEST              ,45,$0,0
0215-707,EAC TATE TALL QN HDBD CHARCOAL,46,$0,0
0217-685,EAC DAWSON QUEEN BD CLVE II P1,47,$0,0
0217-692,EAC DAWSON QUEEN BD CLVE II P2,48,$0,0
0238-683,EAC DAWSON QUEEN BD CLVE II P3,49,$0,0
0325-776,EAC COLETTE 5D CHEST DRIFTWOOD,50,$0,0
0346-555,BRS PLSH QUEEN MATTRESS       ,51,$0,0
0347-066,EAC BRS HYBRD FIRM K MATTRESS ,52,$0,0
0404-066,ATWOOD CHEST TALL             ,53,$0,0
0446-393,LINEA II 3-D CHEST NATURAL    ,54,$0,0
0470-915,EAC TATE 5-DRAWER CHEST       ,55,$0,0
0560-448,EAC BEDFRAME QUEEN/KING/CLKING,56,$0,0
0581-379,BUNKY BOARD QUEEN  15         ,57,$0,0
0614-297,BEDFRAME QUEEN                ,58,$0,0
0651-797,ARCH WHITE OVAL NIGHTSTAND    ,59,$0,0
0652-735,EAC ARCH CHARCOAL OVL NGHTSTND,60,$0,0
0652-905,EAC ARCH CHARCOAL 3DRWR CHEST ,61,$0,0
0663-305,MASON NIGHTSTAND SHADOW       ,62,$0,0
0663-569,BLAIR QUEEN BED PT. 1         ,63,$0,0
0663-629,BLAIR QUEEN BED PT. 2         ,64,$0,0
0663-664,BLAIR QUEEN BED PT. 3         ,65,$0,0
0663-686,EAC BLAIR KING BED PT. 1      ,66,$0,0
0663-707,EAC BLAIR KING BED PT. 2      ,67,$0,0
0663-714,EAC BLAIR KING BED PT. 3      ,68,$0,0
0663-755,BLAIR NIGHTSTAND              ,69,$0,0
0663-775,BLAIR 7-DRAWER DRESSER        ,70,$0,0
0664-609,EAC LOWE KING HEADBOARD SMOKE ,71,$0,0
0665-522,EAC ARCH KING BED TEA PT. 1   ,72,$0,0
0665-558,EAC ARCH KING BED TEA PT. 2   ,73,$0,0
0665-565,EAC ARCH KING BED TEA PT. 3   ,74,$0,0
0666-116,EAC ARCH CHARCOAL QUEEN BED P1,75,$0,0
0666-132,EAC ARCH CHARCOAL QUEEN BED P2,76,$0,0
0666-158,EAC ARCH CHARCOAL QUEEN BED P3,77,$0,0
0666-996,ARCH WHITE QUEEN BED PT. 1    ,78,$0,0
0667-023,ARCH WHITE QUEEN BED PT. 2    ,79,$0,0
0667-030,ARCH WHITE QUEEN BED PT. 3    ,80,$0,0
0667-086,KEANE WENGE CANOPY KING BED P1,81,$0,0
0667-090,KEANE WENGE CANOPY KING BED P2,82,$0,0
0667-112,EAC ARCH WHITE KING BED PT. 1 ,83,$0,0
0667-116,KEANE WENGE NIGHTSTAND        ,84,$0,0
0667-138,EAC ARCH WHITE KING BED PT. 2 ,85,$0,0
0667-146,EAC ARCH WHITE KING BED PT. 3 ,86,$0,0
0667-147,KEANE WENGE 6-DRAWER DRESSER  ,87,$0,0
0667-157,EAC KEANE WENGE 5-DRAWER CHEST,88,$0,0
